279	7	CNL	none
280	7	CNL	none
281	7	TNL	none
282	7	CNL	none
283	7	TNL	none
284	7	TNL	none
285	7	TNL	none
286	7	TNL	none
287	6	TNL	none
288	6	TNL	none
289	6	CNL	none
290	6	NL	none
291	6	CNL	none
292	6	CNL	none
293	6	TNL	none
294	6	CNL	none
295	5	CNL	none
296	5	NL	none
297	5	TNL	none
298	5	CNL	none
299	5	TNL	none
300	5	CNL	none
301	5	CNL	none
302	5	TNL	none
303	5	CNL	none
304	5	CNL	none
305	5	TNL	none
306	5	TNL	none
307	5	TNL	none
308	5	TNL	none
309	5	CNL	none
310	5	TNL	none
311	5	TNL	none
312	5	NL	both
313	5	CNL	none
314	5	TNL	none
315	4	TNL	none
316	4	NL	none
317	4	TNL	none
318	4	NL	none
319	4	NL	none
320	4	TNL	none
321	4	NL	none
322	4	TNL	none
323	4	RNL	none
324	4	NL	complex
325	4	NL	none
326	4	NL	none
327	4	TNL	none
328	3	TNL	none
329	3	TNL	none
330	3	CNL	none
331	3	NL	none
332	3	NL	none
333	3	TNL	none
334	3	TNL	none
335	3	CNL	none
336	3	TNL	none
337	3	TNL	none
338	3	CNL	none
339	3	TNL	none
340	3	TNL	none
341	3	TNL	none
342	3	TNL	none
343	3	TNL	none
344	3	CNL	none
345	3	TNL	none
346	3	NL	none
347	3	NL	none
348	3	TNL	none
349	3	NL	none
350	3	NL	none
351	3	RNL	none
352	3	NL	none
353	3	NL	none
354	3	NL	none
355	3	TNL	none
356	3	TNL	none
357	2	TNL	none
358	2	NL	none
359	2	RNL	none
360	2	CNL	none
361	2	NL	none
362	2	TNL	none
363	2	TNL	none
364	2	TNL	none
365	2	TNL	none
366	2	TNL	none
367	2	NL	none
368	2	CNL	none
369	2	TNL	none
370	2	TNL	none
371	2	TNL	none
372	2	TNL	none
373	2	TNL	none
374	2	NL	none
375	2	TNL	none
376	2	TNL	none
377	2	TNL	none
378	2	NL	none
379	2	CNL	none
380	2	TNL	none
381	2	NL	none
382	2	TNL	none
383	2	TNL	none
384	2	TNL	none
385	2	NL	none
386	2	TNL	none
387	2	CNL	none
388	2	CNL	none
389	2	CNL	none
390	2	NL	none
391	2	TNL	none
392	2	RNL	none
393	2	TNL	none
394	2	TNL	none
395	2	TNL	none
396	2	TNL	none
397	2	TNL	none
398	2	RNL	none
399	2	CNL	none
400	2	TNL	none
401	2	TNL	none
402	2	CNL	none
403	2	TNL	none
404	2	TNL	none
405	2	NL	none
406	2	TNL	none
407	2	TNL	none
408	2	NL	none
409	2	TNL	none
410	2	TNL	none
411	2	TNL	none
412	2	CNL	none
413	2	TNL	none
414	2	NL	none
415	2	NL	none
