idnew	idold	status	use	NLRs	majorclass	majorsubclass	pairs	putpairs	IDs	paralogs_ogold
101.1	101	orthogroup	1	56	CNL	CN	0	0	0	none
184.2	184	orthogroup	1	6	TNL	TNL	0	0	0	both
5.1	5	orthogroup	1	24	TNL	TNL	0	1	0	both
205.1	205	orthogroup	1	23	TNL	TNLX	0	22	19	none
164.1	164	orthogroup	1	37	TNL	TN	0	0	0	none
276.1	276	orthogroup	1	7	TNL	TNL	0	0	0	none
135.5	135	orthogroup	1	6	NL	N	0	0	0	both
186.1	186	orthogroup	1	31	CNL	CN	0	1	0	none
131.1	131	orthogroup	1	47	TNL	T	0	0	0	none
27.1	27	orthogroup	1	62	NL	NL	0	0	0	none
