idnew	idold	status	use	NLRs	majorclass	majorsubclass	pairs	putpairs	IDs	paralogs_ogold
1819	179	singleton	0	1	TNL	TNL	0	0	0	complex
1820	35	singleton	0	1	NL	N	0	0	0	none
1821	69	singleton	0	1	TNL	TNL	0	0	0	none
1822	192	singleton	0	1	TNL	TX	0	0	1	none
1823	123	singleton	0	1	TNL	T	0	0	0	none
1824	20	singleton	0	1	TNL	TNL	0	0	0	none
1825	147	singleton	0	1	NL	N	0	0	0	none
1826	44	singleton	0	1	TNL	TNL	0	0	0	none
1827	2	singleton	0	1	RNL	R	0	0	0	both
1828	18	singleton	0	1	TNL	TNL	1	0	0	complex
1829	12	singleton	0	1	NL	N	0	0	0	complex
1830	6	singleton	0	1	CNL	CN	0	0	0	both
