idnew	invariable	pervasive	episodic	posclass
259.1	1	1	0	110
26.1	1	1	0	110
260.1	1	0	0	100
261.1	1	0	0	100
262.1	1	0	0	100
263.1	1	1	1	111
264.1	1	0	0	100
265.1	1	0	0	100
266.1	1	0	0	100
267.1	1	0	0	100
268.1	1	1	1	111
269.1	1	1	0	110
27.1	1	0	0	100
270.1	1	1	0	110
271.1	1	1	0	110
272.1	1	1	0	110
273.1	1	1	1	111
274.1	1	1	0	110
275.1	1	0	0	100
276.1	1	0	1	101
277.1	1	0	1	101
278.2	1	0	0	100
279.1	1	1	0	110
28.1	1	1	1	111
280.1	1	1	0	110
281.1	1	1	1	111
282.1	1	1	0	110
283.1	1	0	0	100
284.1	1	0	0	100
285.1	1	0	1	101
286.1	1	1	0	110
287.1	1	0	0	100
288.1	1	0	0	100
289.1	1	0	1	101
29.1	1	1	0	110
290.1	1	1	0	110
291.1	1	1	0	110
292.1	1	0	0	100
293.1	1	0	0	100
294.1	1	0	0	100
296.1	1	0	0	100
297.1	1	0	0	100
298.1	1	1	0	110
299.1	1	0	0	100
3.10	1	1	0	110
3.12	1	1	0	110
3.13	1	1	0	110
3.14	1	1	0	110
3.15	1	0	0	100
3.17	1	1	1	111
3.18	1	1	0	110
3.19	1	1	0	110
3.2	1	1	1	111
3.22	1	1	0	110
3.3	1	1	1	111
3.8	1	1	1	111
3.9	1	1	1	111
30.1	1	0	0	100
300.1	1	0	0	100
301.1	1	0	0	100
302.1	1	1	0	110
303.1	1	1	0	110
304.1	1	1	0	110
305.1	1	0	0	100
306.1	1	1	1	111
307.1	1	0	0	100
309.1	1	0	0	100
31.1	1	1	0	110
310.1	1	0	0	100
312.1	1	0	0	100
313.1	1	0	0	100
314.1	1	0	0	100
32.1	1	0	0	100
320.1	1	0	0	100
321.1	1	1	0	110
325.1	1	1	0	110
326.1	1	1	1	111
33.1	1	1	1	111
34.1	1	0	0	100
35.1	1	1	0	110
36.1	1	1	1	111
37.1	1	0	1	101
38.1	1	1	0	110
39.1	1	1	1	111
4.10	1	0	1	101
4.11	1	1	1	111
4.13	1	1	1	111
4.14	1	0	0	100
4.15	1	1	0	110
4.16	1	1	0	110
4.2	1	1	0	110
4.3	1	1	1	111
4.4	1	1	0	110
4.6	1	1	1	111
4.8	1	1	1	111
4.9	1	1	1	111
40.1	1	1	1	111
41.1	1	1	1	111
42.1	1	1	0	110
43.1	1	1	1	111
44.1	1	1	0	110
45.2	1	1	0	110
45.5	1	0	0	100
45.6	1	0	0	100
46.1	1	1	1	111
47.1	1	1	1	111
48.1	1	1	1	111
49.1	1	0	1	101
5.1	1	1	1	111
5.10	1	1	0	110
5.11	1	0	0	100
5.12	1	1	1	111
5.2	1	0	1	101
5.4	1	1	1	111
5.5	1	0	0	100
5.6	1	0	0	100
5.7	1	1	1	111
5.8	1	1	0	110
50.1	1	1	1	111
51.1	1	0	0	100
52.1	1	0	1	101
53.1	1	1	0	110
54.1	1	1	0	110
55.1	1	1	1	111
56.1	1	1	0	110
57.1	1	0	1	101
58.1	1	0	0	100
59.1	1	0	0	100
6.10	1	1	0	110
6.11	1	1	0	110
6.12	1	1	0	110
6.13	1	1	0	110
6.14	1	1	0	110
6.17	1	0	0	100
6.2	1	1	0	110
6.3	1	0	0	100
6.4	1	1	0	110
6.6	1	1	1	111
6.7	1	1	0	110
6.8	1	0	0	100
60.1	1	1	0	110
61.1	1	1	0	110
62.1	1	0	0	100
63.1	1	0	0	100
64.1	1	1	0	110
65.1	1	1	0	110
66.1	1	0	0	100
67.1	1	0	1	101
68.1	1	1	1	111
69.1	1	1	1	111
7.1	1	1	0	110
7.12	1	0	0	100
7.16	1	1	0	110
7.17	1	1	0	110
7.2	1	1	0	110
7.20	1	0	0	100
7.3	1	1	1	111
7.4	1	1	0	110
7.5	1	1	1	111
7.6	1	1	1	111
7.7	1	1	1	111
7.8	1	1	1	111
70.1	1	1	1	111
71.1	1	1	1	111
72.1	1	0	0	100
73.1	1	1	1	111
74.1	1	1	1	111
75.1	1	0	0	100
76.1	1	0	0	100
77.1	1	1	1	111
78.1	1	1	1	111
79.1	1	1	1	111
8.2	1	1	1	111
8.3	1	1	0	110
8.4	1	1	1	111
8.5	1	1	1	111
80.1	1	1	0	110
81.1	1	0	0	100
82.1	1	1	1	111
83.1	1	1	0	110
84.1	1	0	1	101
85.1	1	1	0	110
86.1	1	0	0	100
87.1	1	1	0	110
88.1	1	1	1	111
89.1	1	1	1	111
9.1	1	1	0	110
9.2	1	1	0	110
9.3	1	1	1	111
9.5	1	0	0	100
90.1	1	1	0	110
91.1	1	1	1	111
92.1	1	1	1	111
93.1	1	0	0	100
94.1	1	1	1	111
95.1	1	1	0	110
96.1	1	1	1	111
97.1	1	1	0	110
98.1	1	1	1	111
99.1	1	1	0	110
